codigo_imovel,referencia,provedor,status_imovel,url_cadastro,pontos_fortes_atuais,data_hora_conferencia
"4307019","1288","cordial","true","https://www.cordialimoveis.com/imovel/4307019","&#128715;&#65039; Permanecem no imÃ³vel:<br /> * Todos os mÃ³veis e eletrodomÃ©sticos, saem apenas itens pessoais e decorativos.<br /><br /> &#128242; Entre em contato com a equipe da Cordial ImÃ³veis e agende sua visita.<br /><br /> &#128176; Valor do imÃ³vel: R$ 2.300.000,00<br /><br /> &#9888;&#65039; As informaÃ§Ãµes, caracterÃ­sticas, valores e disponibilidade do imÃ³vel poderÃ£o sofrer alteraÃ§Ãµes sem aviso prÃ©vio. Consulte a equipe da imobiliÃ¡ria para confirmaÃ§Ã£o dos dados e disponibilidade atualizada.<br /><br />ag Bruna<br /> comissÃ£o 6%","2026-09-18T04:31:24-03:00"
"4306695","1287","cordial","true","https://www.cordialimoveis.com/imovel/4306695","","2026-09-18T04:31:25-03:00"
"4306681","1286","cordial","true","https://www.cordialimoveis.com/imovel/4306681","","2026-09-18T04:31:26-03:00"
"4306617","1285","cordial","true","https://www.cordialimoveis.com/imovel/4306617","agenciamento GeandrÃ©","2026-09-18T04:31:26-03:00"
"4306332","1284","cordial","true","https://www.cordialimoveis.com/imovel/4306332","","2026-09-18T04:31:27-03:00"
"4304846","1283","cordial","true","https://www.cordialimoveis.com/imovel/4304846","","2026-09-18T04:31:28-03:00"
"4304750","1281","cordial","true","https://www.cordialimoveis.com/imovel/4304750","ag Bruna<br />APTO ESTÃ ALUGADO, INQUILINA VENDE ALGUNS MÃVEIS DELA SE HOUVER INTERESSE DO COMPRADOR (SOFÃ POR EXEMPLO ELA FEZ SOB MEDIDA, CLIMATIZADOR NOVO NA SALA, MESA DE JANTAR...)","2026-09-18T04:31:29-03:00"
"4304734","1280","cordial","true","https://www.cordialimoveis.com/imovel/4304734","comissÃ£o de 10%<br /> Ag: Felipe Fleck","2026-09-18T04:31:30-03:00"
"4303864","1278","cordial","true","https://www.cordialimoveis.com/imovel/4303864","comissÃ£o de 10%<br /> Ag: Felipe Fleck","2026-09-18T04:31:30-03:00"
"4303855","1277","cordial","true","https://www.cordialimoveis.com/imovel/4303855","agenciamento 6% geandrÃ©","2026-09-18T04:31:31-03:00"
"4303849","1276","cordial","true","https://www.cordialimoveis.com/imovel/4303849","comissÃ£o de 6%<br /> Ag: Felipe fleck","2026-09-18T04:31:32-03:00"
"4303061","1274","cordial","true","https://www.cordialimoveis.com/imovel/4303061","https://maps.app.goo.gl/QPr9HcRN6bpDFyv59","2026-09-18T04:31:33-03:00"
"4303000","1273","cordial","true","https://www.cordialimoveis.com/imovel/4303000","comissÃ£o 6% GeandrÃ©","2026-09-18T04:32:18-03:00"
"4302978","1272","cordial","true","https://www.cordialimoveis.com/imovel/4302978","comissÃ£o 6% GeandrÃ©","2026-09-18T04:32:20-03:00"
"4302789","1270","cordial","true","https://www.cordialimoveis.com/imovel/4302789","comissÃ£o de 6%<br /> Em processo de legalizaÃ§Ã£o, e sem vaga de garagem<br /> Ag: Felipe Fleck","2026-09-18T04:32:20-03:00"
"4300163","1268","cordial","true","https://www.cordialimoveis.com/imovel/4300163","","2026-09-18T04:32:21-03:00"
"4300156","1267","cordial","true","https://www.cordialimoveis.com/imovel/4300156","","2026-09-18T04:32:22-03:00"
"4300148","1266","cordial","true","https://www.cordialimoveis.com/imovel/4300148","","2026-09-18T04:32:23-03:00"
"4300143","1265","cordial","true","https://www.cordialimoveis.com/imovel/4300143","","2026-09-18T04:32:24-03:00"
"4300134","1264","cordial","true","https://www.cordialimoveis.com/imovel/4300134","","2026-09-18T04:32:24-03:00"
"4300118","1263","cordial","true","https://www.cordialimoveis.com/imovel/4300118","","2026-09-18T04:32:25-03:00"
"4300069","1262","cordial","true","https://www.cordialimoveis.com/imovel/4300069","","2026-09-18T04:32:26-03:00"
"4297288","1261","cordial","true","https://www.cordialimoveis.com/imovel/4297288","passei o valor real do imovel, pediu para colocar este valor por um mes, nÃ£o vai vender a este preÃ§o, ja esta ciente, mas pediu 30 dias para ver o mercado.<br /> Agenciamento GeandrÃ© 6$","2026-09-18T04:32:27-03:00"
"4296552","1259","cordial","true","https://www.cordialimoveis.com/imovel/4296552","comissÃ£o de 6%<br /> Ag: Felipe Fleck","2026-09-18T04:32:28-03:00"
